Query time cost (s),#Embeddings,,
0.022722,38458,,1
0.02615,1140161,,2
0.155963,388845,,3
0.028378,1727462,,4
0.026359,495747,,5
0.102759,173064,,6
0.013337,763,,7
0.013195,135581,,8
0.013113,1773,,9
0.068598,6529,,10
0.325144,2894223,,11
0.011825,15485,,12
0.025485,339196,,13
0.012847,9618,,14
0.787983,2716152,,15
0.084823,100086,,16
0.078223,554051,,17
0.069974,19551,,18
0.067223,53794,,19
0.015002,17253,,20
0.013918,37761,,21
0.399839,32731493,,22
1.008889,3041159,,23
0.017653,278056,,24
0.172746,9267935,,25
0.09278,970426,,26
0.189611,4051730,,27
0.209635,481964,,28
0.074744,15059,,29
0.097036,137810,,30
0.065803,11447,,31
0.074554,25946,,32
0.084048,918536,,33
0.085056,428261,,34
0.077923,659437,,35
0.073146,96771,,36
0.015076,15625,,37
0.019294,38464,,38
0.015732,1837,,39
0.014398,24068,,40
0.015943,158500,,41
0.086238,634355,,42
0.014488,45,,43
0.014553,15055,,44
0.015314,42611,,45
0.014116,74387,,46
0.068742,124132,,47
0.029667,1523564,,48
0.071817,1794,,49
0.0834,855948,,50
0.015209,75296,,51
0.068417,6821,,52
0.066842,3116,,53
0.281756,26480626,,54
0.030628,309695,,55
0.011532,2264,,56
0.074136,297259,,57
0.175372,256151,,58
0.071861,2860,,59
0.077534,166117,,60
0.013321,11958,,61
0.013373,55,,62
0.019501,397276,,63
0.01639,67276,,64
0.073334,32238,,65
0.017365,10613,,66
0.021861,3,,67
0.011322,4123,,68
0.073629,147,,69
0.016162,17814,,70
0.017998,5954,,71
0.199313,15492215,,72
0.07091,220050,,73
0.076253,498126,,74
0.070541,124730,,75
0.019232,66670,,76
0.076612,497848,,77
0.074764,181973,,78
0.094146,822686,,79
0.568246,6143608,,80
0.085787,5615,,81
1.810253,36229008,,82
0.015619,3708,,83
0.095464,4777057,,84
0.214627,13039,,85
0.093476,6126137,,86
0.081085,274727,,87
0.499121,6848309,,88
0.017856,8266,,89
0.07696,466157,,90
0.014324,58847,,91
0.070825,82371,,92
0.52154,52887555,,93
0.033671,35734,,94
0.081634,1156202,,95
0.062635,134,,96
0.012155,144,,97
0.071283,479552,,98
0.017822,88234,,99
0.024264,529,,100
0.512048,2564431,,101
0.014089,76,,102
0.01864,3521,,103
0.069278,18,,104
0.012776,53314,,105
0.012289,23834,,106
0.073466,1210605,,107
1.675092,9807536,,108
0.010995,567,,109
0.016858,69472,,110
0.022565,94862,,111
0.013849,1838,,112
0.0754,494471,,113
0.063535,119941,,114
0.014847,45272,,115
0.021205,6564,,116
0.158237,278187,,117
0.097995,2329730,,118
1.165215,4055876,,119
0.029181,344588,,120
0.013604,4821,,121
0.012749,16749,,122
0.069786,43896,,123
0.027386,1130122,,124
0.07867,1308715,,125
0.176382,4947642,,126
0.072842,5674,,127
0.021379,356126,,128
1.304912,43424747,,129
0.072783,711,,130
0.072515,364720,,131
0.025133,30297,,132
0.083496,612880,,133
0.076717,185656,,134
0.198198,21678277,,135
0.016708,529621,,136
0.069152,161339,,137
0.019899,233566,,138
0.014277,2070,,139
0.086785,3878008,,140
1.091563,5387470,,141
0.07051,122218,,142
0.074509,41500,,143
0.016514,50052,,144
0.015358,26471,,145
0.013717,21444,,146
0.080649,419751,,147
0.014297,2732,,148
0.105819,102751,,149
0.074053,50322,,150
0.076127,162321,,151
0.014136,4018,,152
0.222315,19745714,,153
0.098615,891494,,154
0.029133,28873,,155
0.015687,80807,,156
0.07222,64715,,157
0.063427,5336,,158
0.073624,62737,,159
0.070073,161501,,160
0.015766,2932,,161
0.194168,432214,,162
0.048605,398061,,163
0.101883,6619458,,164
0.066116,26,,165
0.013103,18063,,166
0.013164,6181,,167
0.016739,216869,,168
0.105694,404423,,169
0.016148,30469,,170
0.02176,267175,,171
0.282452,3819,,172
0.19277,14026952,,173
0.165482,7356285,,174
0.014972,74861,,175
0.021102,306844,,176
0.105428,2353523,,177
0.017439,213154,,178
0.087336,218785,,179
0.019161,999,,180
0.017635,8623,,181
0.012896,3003,,182
0.014305,43223,,183
0.022009,486198,,184
0.014634,4453,,185
0.012352,106,,186
0.016809,16129,,187
0.019322,214136,,188
0.16508,9813178,,189
0.888967,4488633,,190
0.430148,2885300,,191
0.080866,7588,,192
0.069623,251418,,193
0.022255,397607,,194
0.102493,3143246,,195
0.066952,477,,196
0.074897,58509,,197
0.016226,139,,198
0.069674,63022,,199
0.203673,2056838,,200
