Query time cost (s),#Embeddings
0.193363,118088
0.141832,113804
0.142602,112690
0.113838,1783
0.194564,117319
0.142793,109354
0.138971,110114
0.118191,10256
0.210240,106820
0.433002,118341
0.141046,114746
0.210815,2068
0.139866,19313
0.117573,9793
0.155221,112445
0.224378,128051
0.133160,10382
0.651170,13786
0.213874,113667
0.184448,17713
0.211657,114603
0.184076,23044
0.205597,114185
0.222829,17722
0.140329,107325
0.592771,20006
0.283941,15850
0.280673,111050
0.313533,114141
0.109352,10230
0.130955,2635
0.250479,119577
0.197021,16893
0.213787,118103
0.211646,112875
0.142437,116407
0.178344,19817
0.780024,2355
0.237526,118496
0.181774,575
0.285234,111577
0.202049,120083
0.134324,111245
0.184041,116301
0.292216,118081
0.177438,487
0.119044,17960
0.287439,122795
0.205434,115024
0.136638,108911
0.259186,110400
0.166957,19452
0.178287,121507
0.112070,10485
0.374652,116756
0.125541,14976
0.184614,18506
0.119714,14884
0.171781,18140
0.294134,10124
0.253763,117498
0.193361,113864
0.195238,109023
0.124566,18234
0.176445,15648
0.201557,117111
0.196264,108028
0.118107,16599
0.134242,116541
0.116030,2068
0.116091,18008
0.117324,10640
0.732451,110857
0.188125,17339
0.873945,16467
0.209936,117287
0.120613,16621
0.204546,115761
1.757018,105116
0.359044,116247
0.123953,19697
0.258682,108779
0.127816,13122
0.280128,109782
0.138894,119188
0.175280,15499
0.134354,110940
0.116904,16962
0.235302,15195
0.188643,18505
0.150011,9291
0.201267,10069
0.184595,17803
0.278380,119265
0.170202,20959
0.124086,9704
0.194663,17252
0.162918,116896
0.212194,115498
0.175761,12868
0.285639,112219
0.177879,17925
0.198849,115919
0.212342,120546
0.186431,15495
0.191489,10891
0.188372,113551
0.184574,12134
0.263166,18777
0.477765,109344
0.143859,123208
0.188209,111913
0.131696,113509
0.204904,123903
0.118122,9621
0.275672,10734
0.121429,14722
0.243897,113398
0.190189,17289
0.178079,14031
0.154445,19292
0.203538,10059
0.268520,113226
0.077073,127809
0.150309,114054
0.190099,110235
0.193366,110653
0.174842,119887
0.206161,13793
0.481012,116114
0.218676,115095
0.199547,2310
0.637342,21086
0.132827,116378
0.178832,118590
0.112861,2228
0.270048,19049
